자재구분,END_DATE_TIME,Y,CHAMBER,TAE.STDDEV0,TAE.MEAN0,TAE.RANGE0,PC.STDDEV0,PC.MEAN0,PC.RANGE0,CROT.STDDEV0,CROT.MEAN0,CROT.RANGE0,TAE.STDDEV1,TAE.MEAN1,TAE.RANGE1,CROT.STDDEV1,CROT.MEAN1,CROT.RANGE1,PC.STDDEV1,PC.MEAN1,PC.RANGE1,TAE.STDDEV13,TAE.MEAN13,TAE.RANGE13,PC.STDDEV13,PC.MEAN13,PC.RANGE13,CROT.STDDEV13,CROT.MEAN13,CROT.RANGE13,TAE.STDDEV5,TAE.MEAN5,TAE.RANGE5,CROT.STDDEV5,CROT.MEAN5,CROT.RANGE5,PC.STDDEV5,PC.MEAN5,PC.RANGE5,TAE.STDDEV3,TAE.MEAN3,TAE.RANGE3,PC.STDDEV3,PC.MEAN3,PC.RANGE3,CROT.STDDEV3,CROT.MEAN3,CROT.RANGE3,CROT.STDDEV11,CROT.MEAN11,CROT.RANGE11,TAE.STDDEV11,TAE.MEAN11,TAE.RANGE11,PC.STDDEV11,PC.MEAN11,PC.RANGE11,PC.STDDEV10,PC.MEAN10,PC.RANGE10,CROT.STDDEV10,CROT.MEAN10,CROT.RANGE10,TAE.STDDEV10,TAE.MEAN10,TAE.RANGE10,CROT.STDDEV2,CROT.MEAN2,CROT.RANGE2,TAE.STDDEV2,TAE.MEAN2,TAE.RANGE2,PC.STDDEV2,PC.MEAN2,PC.RANGE2,CROT.STDDEV7,CROT.MEAN7,CROT.RANGE7,TAE.STDDEV7,TAE.MEAN7,TAE.RANGE7,PC.STDDEV7,PC.MEAN7,PC.RANGE7,PC.STDDEV8,PC.MEAN8,PC.RANGE8,TAE.STDDEV8,TAE.MEAN8,TAE.RANGE8,CROT.STDDEV8,CROT.MEAN8,CROT.RANGE8,CROT.STDDEV14,CROT.MEAN14,CROT.RANGE14,TAE.STDDEV14,TAE.MEAN14,TAE.RANGE14,PC.STDDEV14,PC.MEAN14,PC.RANGE14,TAE.STDDEV6,TAE.MEAN6,TAE.RANGE6,PC.STDDEV6,PC.MEAN6,PC.RANGE6,CROT.STDDEV6,CROT.MEAN6,CROT.RANGE6,TAE.STDDEV4,TAE.MEAN4,TAE.RANGE4,CROT.STDDEV4,CROT.MEAN4,CROT.RANGE4,PC.STDDEV4,PC.MEAN4,PC.RANGE4,CROT.STDDEV12,CROT.MEAN12,CROT.RANGE12,TAE.STDDEV12,TAE.MEAN12,TAE.RANGE12,PC.STDDEV12,PC.MEAN12,PC.RANGE12,TAE.STDDEV9,TAE.MEAN9,TAE.RANGE9,CROT.STDDEV9,CROT.MEAN9,CROT.RANGE9,PC.STDDEV9,PC.MEAN9,PC.RANGE9,PC.RANGE11
1,2017-09-25 16:18,69,4,0.044553577,38.08312667,0.254154,0.124752693,0.044329265,0.4398827,0,35,0,0.121240282,38.05561931,0.31769,0,35,0,2.082388805,44.22888969,7.722385,0.309010399,35.79984597,1.01662,0.767937493,45.19489181,4.105572,0,35,0,0.022405995,35.0215344,0.127077,0,35,0,1.066393842,45.16086927,11.436951,0.039342744,34.079036,0.127076,2.643620957,57.1975003,13.19648,0,35,0,0,35,0,0.105174991,34.99266668,0.44477,2.9704232,45.79667636,14.858261,0.916970774,44.86192544,4.154447,0,35,0,0.079950919,38.00979875,0.190615,0,35,0,0.089351111,34.05588747,0.571847,0.156611366,56.50105124,1.66178,0,35,0,0.022897686,35.01554019,0.127077,1.271139551,45.18572834,12.170089,1.660876078,45.55605692,6.256112,0.071510652,38.01774081,0.254153,0,35,0,0,35,0,0,35.96862,0,0,3.714565,0,0.061100587,38.03465058,0.254153,0.468055573,44.95705932,2.981427,0,35,0,0.212885388,37.8952761,0.635387,0,35,0,0.226690581,45.08245865,1.173024,0,35,0,0.164348057,30.87040357,0.698922,3.821034285,57.64558029,17.350926,0.032831926,35.01165029,0.127077,0,35,0,0.405342954,45.12484097,3.079182,
2,2017-09-25 16:13,28,2,0.034801196,38.052395,0.063538,0.177574801,0.342130991,0.439882703,0,27,0,0.115462051,38.01608786,0.317695,0,27,0,4.485572645,43.40175986,17.008798,0.296836764,36.34246035,0.95308,0.295543633,45.07647632,1.759528,0,27,0,0.033179864,35.55019817,0.12708,0,27,0,0.258892245,45.06559241,2.981426,0.043760155,34.54257683,0.127079,0.513855418,56.57273922,2.492667,0,27,0,0,27,0,0.108087594,35.5157385,0.44477,0.316292953,45.06541854,1.710655,0.112830066,45.04215544,0.391007,0,27,0,0.081925008,38.08019362,0.31769,0,27,0,0.083688557,34.51329318,0.571849,0.838911242,56.63354053,8.11339,0,27,0,0.030654554,35.54817975,0.12708,0.177951595,45.09232086,1.466278,0.83438421,45.28160008,3.128057,0.072328269,38.06430875,0.31769,0,27,0,0,27,0,0,36.4957,0,0,3.5679374,0,0.04602607,38.05341997,0.254153,0.393596694,45.11066914,1.710655,0,27,0,0.143218084,37.91737603,0.444771,0,27,0,0.321101287,44.97800544,2.052788,0,27,0,0.182611732,31.37957072,0.635388,0.303503691,56.61388156,1.46628,0.020857686,35.5502448,0.06354,0,27,0,1.923012303,45.35027718,15.004887,
3,2017-09-25 16:15,13,3,0.030088885,38.04640691,0.12708,0.137559375,0.063982939,0.48875856,0,15,0,0.119149356,38.02924407,0.317692,0,15,0,2.772591234,43.89750036,10.459431,0.368457847,36.72187916,1.20723,1.378732954,45.33082787,7.331377,0,15,0,0.026913798,36.01767272,0.127076,0,15,0,1.054788054,45.17772303,10.997066,0.05223506,35.07134352,0.19061,4.176786631,57.711759,19.990226,0,15,0,0,15,0,0.098973352,36.00219668,0.38123,0.250996285,45.11685759,1.319644,1.465553044,45.51564017,5.180838,0,15,0,0.077226285,38.11774383,0.254153,0,15,0,0.088165714,35.0476237,0.571846,0.211330782,56.54711815,2.150536,0,15,0,0.02463898,36.01416186,0.127076,0.704581207,45.14387471,6.353858,0.029371098,45.00923267,0.097752,0.080522326,38.11244883,0.254153,0,15,0,0,15,0,0,36.958164,0,0.03456041,3.9345064,0.0488758,0.060071766,38.07497735,0.317693,0.03738261,44.99978739,0.097752,0,15,0,0.065499334,37.99360744,0.254154,0,15,0,0.172851261,45.001991,1.124142,0,15,0,0.185763638,31.85086814,0.635387,2.845738952,57.29646757,13.098728,0.021634855,36.01337257,0.063538,0,15,0,0.161640428,45.0713935,0.977516,
4,2017-09-25 16:10,101,4,0.047904196,38.09081035,0.190617,1.441464899,0.503421314,6.5493646,0,35,0,0.128292891,38.06050646,0.38123,0,35,0,1.77105128,44.12361854,5.57185,0.284946089,35.81694748,0.826,2.668715838,45.58382926,14.662758,0,35,0,0.023395889,35.02093499,0.127077,0,35,0,0.11863528,45.05806096,1.124147,0.048596665,34.08179874,0.190613,4.225736324,57.52263057,21.212122,0,35,0,0,35,0,0.132344297,34.98621523,0.50831,2.022365626,45.49778158,10.703813,0.53968253,44.92016967,2.248286,0,35,0,0.075435135,37.99338493,0.190615,0,35,0,0.082987003,34.05963659,0.50831,1.038578155,56.69219153,9.970676,0,35,0,0.021078287,35.0213164,0.127077,1.550885162,45.27701926,14.174,2.361589644,45.83803315,8.60215,0.077710754,38.0137695,0.254153,0,35,0,0,35,0,0.044927444,35.9368515,0.063537,0,3.4701858,0,0.061100587,38.03465058,0.254153,0.496490808,44.98149707,3.567936,0,35,0,0.204035024,37.89937529,0.571845,0,35,0,0.462078502,44.95475084,2.737044,0,35,0,0.150033711,30.86242686,0.571846,3.618665373,57.28694623,17.790812,0.025404853,35.02072706,0.127077,0,35,0,0.359273204,45.11075756,2.688171,
5,2017-10-05 3:48,319,3,0.036058386,38.02382858,0.190617,0.116418546,0.045445972,0.39100686,0,58,0,0.131874591,38.02854577,0.381234,0,58,0,2.090629962,45.39814992,9.335285,0.267023745,34.83756356,0.826006,2.696670959,45.58589956,15.249268,0,58,0,0.07413708,34.00891491,0.444771,0,58,0,0.144114016,45.05662237,1.466274,0.037972413,33.05054,0.12708,1.323439517,57.02034895,6.256107,0,58,0,0,58,0,0.284152989,33.8447721,1.143695,1.805397141,45.65237657,8.45552,0.864073269,45.259042,3.225802,0,58,0,0.199935001,37.63061425,0.571849,0,58,0,0.098381884,32.99087467,0.826003,0.547087624,56.55234513,5.42522,0,58,0,0.08311696,33.99454269,0.444771,0.868905675,45.18572826,7.722385,0.110976958,44.9951126,0.342132,0.211347068,37.63753838,0.571849,0,58,0,0,58,0,0,34.98847,0,0,3.42131,0,0.240896841,37.82728107,0.762464,0.057968233,45.03225764,0.244381,0,58,0,0.444799394,37.66733645,1.524927,0,58,0,0.460118044,45.10768516,2.8348,0,58,0,0.210857894,29.85338955,0.698925,0.769092873,56.34941855,3.714566,0.076082805,33.96731105,0.317697,0,58,0,0.447676315,45.14719198,3.225808,
6,2017-10-05 3:53,253,4,0.060228143,38.09138807,0.317692,0.125784371,0.045543412,0.4398827,0,84,0,0.129297461,38.055619,0.38123,0,84,0,1.753235467,44.42439292,7.184749,0.265647766,35.32926313,0.762463,0.229499421,44.98411478,1.36852,0,84,0,0.022332943,34.51463536,0.127075,0,84,0,0.321888439,45.02288108,3.812316,0.04859564,33.57349035,0.127074,0.394456848,56.60036426,2.15054,0,84,0,0,84,0,0.148921094,34.4487772,0.571846,2.323741068,45.61876836,11.779084,0.269483165,44.99022481,1.17302,0,84,0,0.131693377,37.86286562,0.317696,0,84,0,0.098277969,33.52692229,0.635383,1.998055633,56.81760048,18.6217,0,84,0,0.027554199,34.51726513,0.127075,0.45627836,45.15901695,3.470184,0.617298352,44.85174325,2.297165,0.128131899,37.87901593,0.381233,0,84,0,0,84,0,0,35.46031,0,0,3.2746823,0,0.134058992,37.96496339,0.381233,0.9554551,45.25904168,5.034214,0,84,0,0.307955836,37.80131281,1.016615,0,84,0,0.545281727,45.14754419,3.225807,0,84,0,0.148659104,30.37433532,0.571848,0.984056644,56.27166177,4.789832,0.026076479,34.52046988,0.063537,0,84,0,0.716276876,44.936293,5.571845,
7,2017-10-05 3:56,83,2,0.03825944,38.074132,0.127079,0.200408087,0.12604826,0.48875856,0,75,0,0.123985148,38.03040169,0.317695,0,75,0,0.819682019,44.80036085,3.567937,0.328487814,36.3377612,1.080156,1.855483743,45.40427334,10.997066,0,75,0,0.025133266,35.55117346,0.12708,0,75,0,0.42195806,45.12741991,4.447701,0.041128565,34.548102,0.127079,2.07299922,57.28250126,9.530792,0,75,0,0,75,0,0.137356885,35.51466352,0.571847,0.333025844,45.08895424,2.00391,1.32313961,45.21322088,6.744869,0,75,0,0.057857282,38.07225112,0.254153,0,75,0,0.095889853,34.51787373,0.635387,1.874860551,56.75737187,17.693057,0,75,0,0.026527428,35.55664831,0.06354,0.115576868,45.06522423,0.928643,1.634650167,45.51846054,6.01173,0.055483004,38.06430875,0.190617,0,75,0,0,75,0,0,36.4957,0,0,3.4701858,0,0.05328248,38.06161842,0.254154,0.158146375,45.06877507,0.977517,0,75,0,0.143317532,37.91936166,0.444771,0,75,0,1.034092387,45.22544041,6.01173,0,75,0,0.156551195,31.38878387,0.635388,2.809497798,57.36599854,13.880746,0.023930548,35.55321,0.06354,0,75,0,0.445152049,44.97421357,3.76344,
8,2017-10-05 3:58,247,3,0.033703193,38.0192581,0.127077,0.0982475,0.029325514,0.39100686,0,59,0,0.119149356,38.02924407,0.317692,0,58,0,3.892755676,44.24661379,17.888564,0.276363506,34.84351997,0.889543,2.509007882,45.58284391,13.685242,0,59,0,0.06758711,34.00825273,0.381234,0,59,0,0.115095774,45.04140627,1.124142,0.04466239,33.03810826,0.12708,0.940145989,56.94037,4.545452,0.466693722,58.3030303,1,0,59,0,0.237132209,33.835695,1.01662,0.532350366,45.04724695,2.737046,0.625034279,44.7987945,2.248291,0,59,0,0.197858767,37.63590925,0.508308,0,58,0,0.087749031,32.9862255,0.698923,0.430962836,56.68764718,3.958944,0,59,0,0.075391583,33.99908134,0.381234,0.242029547,45.08308895,2.00391,0.049550019,44.99294,0.146626,0.213544915,37.64120442,0.508308,0,59,0,0,59,0,0.044931686,34.9566985,0.063543,0,3.8123167,0,0.234163503,37.83408854,0.698926,0.047386765,45.02639264,0.146626,0,59,0,0.408421518,37.69398119,1.33431,0,59,0,0.152366075,45.03515961,0.92864,0,59,0,0.196462912,29.86205377,0.698925,0.233548674,56.57380318,0.879763,0.087641654,33.97480528,0.317697,0,59,0,0.793486901,45.20186608,5.962856,
9,2017-10-05 3:51,217,4,0.043730373,38.11890084,0.190617,0.169681825,0.095179301,0.4398827,0,84,0,0.131873739,38.05561915,0.38123,0,84,0,1.096743647,45.05225938,5.18084,0.272924324,35.30345066,0.826,2.631166035,45.57520847,14.858258,0,84,0,0.031277969,34.52018711,0.127075,0,84,0,0.320638381,45.04061479,3.66569,0.04859564,33.57349035,0.127074,0.691359133,56.48986274,3.274684,0,84,0,0,84,0,0.139557917,34.44104704,0.508309,0.467428081,45.04521033,2.59042,0.910276246,45.35984831,3.56794,0,84,0,0.133279863,37.87477981,0.381233,0,84,0,0.094739325,33.52724275,0.571845,2.084381986,56.81387005,19.061577,0,84,0,0.024084145,34.51810117,0.063537,0.108496143,45.09934281,0.782013,1.04342417,44.83795762,4.349953,0.135035053,37.88272262,0.381233,0,84,0,0,84,0,0,35.46031,0,0,3.714565,0,0.132822819,37.96086406,0.381233,0.094865112,45.02862729,0.342134,0,84,0,0.302246157,37.79734197,1.016615,0,84,0,1.40412568,45.30944547,8.357772,0,84,0,0.178274369,30.33967795,0.571848,3.621391458,57.55576323,16.95992,0.034189027,34.53291815,0.127075,0,84,0,0.399717957,45.15100082,3.030304,
10,2017-10-05 4:00,288,4,0.064277319,38.10552437,0.254155,3.861616162,1.152441297,17.008799,0,84,0,0.121666703,38.06539438,0.38123,0,84,0,0.672979043,44.80036069,2.737045,0.268171033,35.3233065,0.88954,0.166296958,45.07270294,0.684261,0,84,0,0.031302642,34.51031722,0.127075,0,84,0,1.393462285,45.19589267,14.662758,0.041319812,33.56520291,0.127074,3.861801661,57.633133,18.475072,0,84,0,0,84,0,0.132164354,34.44877756,0.571846,1.305198995,45.45650064,6.647118,1.516329988,45.4881475,6.207234,0,84,0,0.124941744,37.87477975,0.317696,0,84,0,0.093271772,33.52574776,0.571845,0.424742624,56.61606648,3.910069,0,84,0,0.033388642,34.5064077,0.127075,0.144165837,45.04556107,1.27077,0.271847201,45.08985654,1.075268,0.137014404,37.88272206,0.381233,0,84,0,0,84,0,0,35.46031,0,0,3.42131,0,0.13396196,37.96291371,0.381233,0.585159024,44.90818357,3.27468,0,84,0,0.288354371,37.81533987,0.826005,0,84,0,0.30888527,44.97367,1.90616,0,84,0,0.157451613,30.37433523,0.635386,0.509924319,56.39829441,2.541547,0.028728304,34.52480706,0.063537,0,84,0,0.160450578,45.08240356,1.026394,
