,Step Number,BCl3 Flow,Cl2 Flow,RF Btm Pwr,RF Btm Rfl Pwr,Endpt A,He Press,Pressure,RF Tuner,RF Load,RF Phase Err,RF Pwr,RF Impedance,TCP Tuner,TCP Phase Err,TCP Impedance,TCP Top Pwr,TCP Rfl Pwr,TCP Load,Vat Valve
0,4,751,753,132,0,626,100,1227,9408,9019,-362,26,16599,20028,-296,16848,360,0,27594,49
0,4,751,753,133.8655462,0,620.4033613,99.06722689,1228.865546,9429.453782,9028.327731,-1381.521008,26,16570.08403,20041.05882,-650.4537815,16799.4958,350.6722689,0,27450.35294,49
0,4,751,754.7310924,134,0,601.8235294,101.5966387,1222.07563,9394.647059,9102.571429,-1109.647059,25.13445378,16458.94118,20132.01681,-342.7647059,16550.18487,344.8067227,0,27298.05042,49
0,4,751,753.4033613,133.2016807,0,588.6218487,100.4033613,1205.033613,9433.705882,9047.739496,-681.5882353,25,16855.52941,20147.59664,-267.8487395,16917.54622,350.3865546,0,27319.10924,49.79831933
0,4,751,753.7310924,132.2689076,0,586.7310924,101.4621849,1187.109244,9453.042017,9039.773109,-248.5042017,25,16670.48739,20205.02521,-470.3613445,16595.96639,347.6134454,0,27280.28571,50
0,4,751,753.3361345,133.3277311,0,1049.714286,101.3361345,1156.773109,9422.806723,9071.546218,-318.512605,25,16479.68908,19729.42857,969.9327731,17054.7395,348.6554622,0.663865546,27870.10084,49.33613445
0,4,751,753,132.8067227,0,1488.647059,100.4033613,1160.109244,9405.403361,9088.983193,-1159.218487,25.59663866,16386.28571,19517.37815,693.2857143,16628.55462,347.6134454,1,27809.27731,48.40336134
0,4,751,753,133.0588235,0,1625.411765,100.5294118,1183.176471,9413.470588,9077.764706,-1411.117647,25.47058824,16346.17647,19568.35294,233.1764706,16287.76471,350.2352941,0.470588235,27779.17647,48
0,4,751,753,134.4621849,0.462184874,1546.815126,100.5378151,1195.848739,9403.89916,9102.05042,-18.74789916,24.53781513,16480.11765,19509.57983,32.79831933,16675.73109,354.9243697,0,27942.57143,48
0,4,751,753.394958,135,0.605042017,1410,100.789916,1196.420168,9394.268908,9090.680672,411.2941176,24.39495798,16489.94118,19494.20168,182.0672269,16721.4958,355.210084,0,27844.38655,48.39495798
0,4,751,753.6722689,134.6722689,0,1392.07563,101.3445378,1186.462185,9414.588235,9024.403361,-1275.235294,25,16334.67227,19560.90756,1182.907563,16575.47899,350.394958,0,27796.53782,49
0,4,751,753.2605042,134,0,1507.168067,100.2605042,1176.470588,9414.10084,9066.680672,-1603.806723,25,16475.2437,19448.35294,947.9663866,16828.55462,346.907563,0,27891.47899,48.7394958
0,4,751,753.8067227,133.8067227,0,1521.705882,101,1190.647059,9400.495798,9086.94958,-820.3865546,24.80672269,16460.84874,19435.29412,55.98319328,16328.70588,357.2268908,0,27879.94958,48.19327731
0,4,751,753,133.7563025,0,1533.252101,100.7478992,1185.12605,9454.823529,9049.033613,-162.9579832,24.12605042,16636.48739,19427.02521,-231.9915966,16740.13445,352.9915966,0,27840.26891,49
0,4,751.0588235,753,138.8235294,0,1535.588235,99.11764706,1186,9413.176471,9077.823529,-1544.941176,25,16718.52941,19449.17647,63.82352941,16842.47059,345.8235294,0,27856,49
0,4,751.9915966,753,136.0252101,0,1544.915966,100.9831933,1186,9431.831933,9090.882353,-925.5798319,25,16536.63866,19467.83193,-303.6890756,16691.36134,343.0252101,0,27856,49
0,4,751.0756303,753,133.2268908,0,1563.487395,100.0756303,1186.92437,9414.436975,9071.588235,-398.6554622,25,16432.39496,19464.30252,-62.04201681,16706.63866,348.5462185,0.924369748,27850.45378,49
0,4,751,753,132.1428571,0,1577.857143,100,1187,9398.428571,9069.142857,-438.2857143,25,16475.42857,19476,160.2857143,16586.28571,348.1428571,0.142857143,27860.28571,49
0,4,751.789916,753.789916,135.1596639,0,1589.478992,100.789916,1187,9423.647059,9091.117647,-1219.008403,24.21008403,16655.41176,19459.04202,111.0588235,15916.68908,355.8991597,0.789915966,27858.84034,49
0,4,752,753.2773109,135.2773109,0,1597.058824,100.2773109,1184.831933,9413.655462,9078.210084,-1067.436975,24,16583.92437,19386.06723,524.7815126,16061.98319,354.3865546,0.277310924,27863.78151,49
0,4,752,753,138.9327731,0,1604.243697,100,1184,9391.268908,9113.605042,-1103.386555,24,16534.41176,19360,322.9747899,16624.47059,351.6890756,0,27886.97479,49
0,4,752,753,136.2941176,0,1604.058824,100.5882353,1184.588235,9392.411765,9081.882353,-981.0588235,24,16678.47059,19367.05882,346.0588235,16631.29412,352.1764706,0.588235294,27899.17647,49
0,4,752,753,133,0,1606.689076,101,1185.521008,9422.445378,9037.747899,-766.3529412,24,16667.94118,19364.70588,305.7478992,16625.09244,355.0840336,0.478991597,27910.42017,49
0,4,752,753,134.3613445,0,1611,101,1186.453782,9411.781513,9050.151261,-752.2857143,24,16523.15966,19375.2437,135.8067227,16806.65546,353.3697479,0.453781513,27910.01681,49
0,4,751.6134454,752.6134454,134.8403361,0,1609.067227,101,1187.773109,9378.411765,9066.201681,-623.2268908,24,16354.16807,19389.81513,283.1596639,16596.68908,347.4537815,1,27924.28571,49
0,4,751,752.3193277,133.3193277,0,1607.277311,101,1188.361345,9391.151261,9065.941176,-509.4621849,24,16192.42017,19370.42017,389.6806723,16295.04202,345.9579832,0.680672269,27957.05882,49
0,4,751.2521008,753.2521008,133.2436975,0,1607.983193,101,1186.495798,9391.932773,9094.327731,-987.2941176,23.74789916,16360.89916,19355.54622,130.8739496,16454.82353,349.512605,0,27935.98319,49
0,4,752,753.8151261,131.1848739,0,1603.848739,101,1185.369748,9381.495798,9112.941176,-1231.546218,23.18487395,16634.59664,19374.95798,80.82352941,16316.42017,354.7394958,0,27925.93277,49
0,4,751.8823529,753.1176471,132.2352941,0,1611.529412,101,1186.882353,9432.529412,9075,-1196.117647,24,16431.76471,19387.29412,49.88235294,16724,356.7058824,0,27899.05882,49
0,4,751,753.9495798,133.8991597,0,1608.151261,101,1186,9373.638655,9090.756303,-2145.277311,24,16437.08403,19380.58824,-13.5210084,16389.15966,347.3529412,0,27841.07563,49
0,4,751,753.0168067,132.0336134,0,1610.94958,101,1186,9459.453782,9104.747899,-1095.907563,24,16290.63866,19354.47059,-60.15966387,16299.61345,353.8823529,0,28008.97479,49
0,4,751,753.9159664,134.7478992,0,1611.915966,99.16806723,1186,9433.521008,9044.546218,-1275.764706,24,16129.53782,19344.84034,102.9579832,16761.47899,349.4201681,0,27922.23529,49
0,4,751,754,134.1512605,0,1619.638655,99.8487395,1186.848739,9387.714286,9048.336134,-1432.344538,23.1512605,16504.57143,19349.09244,537.2773109,16994.11765,347.302521,0,27873.2605,49
0,4,751.7815126,753.2184874,134,0,1619.436975,100.7815126,1186.218487,9416.731092,9060.159664,-1117.823529,23.78151261,16307.5042,19364.06723,-92.14285714,16660.68908,347.7815126,0,27844.11765,49
0,4,752,753,133.2857143,0,1614.714286,101,1186,9432.714286,9043.714286,-950.1428571,24,16338.71429,19370.85714,-128.2857143,16608,350.1428571,0,27795.14286,49
0,4,752,752.3529412,134.9411765,0,1613,101,1186,9411.058824,9084.529412,-1101.529412,24,16501.35294,19356.47059,55.05882353,16519.29412,349.7058824,0,27833.64706,49
0,4,751.4201681,752.5798319,134.2605042,0,1613.579832,101.5798319,1186,9396.840336,9097.084034,-1275.957983,24,16437.69748,19338.72269,-4.084033613,16593.36134,355.3781513,0,27855.88235,49
0,4,751.512605,753,131.4621849,0,1615.02521,100.9747899,1185.487395,9422.142857,9080.848739,-1597.042017,24,16475.22689,19345.32773,-43.25210084,16660.26891,356.9243697,0,27879.73109,49
0,4,751.5546218,753,131.3361345,0,1616,100,1185,9439.428571,9064.310924,-1107.554622,24,16627.16807,19358.89076,-142.4201681,16783.42857,349.9915966,0.445378151,27876.82353,49
0,4,751.3781513,753,134.1344538,0,1617.134454,100,1185.756303,9445.504202,9048.731092,-590.6470588,24,16597.47059,19347.89916,-191.3781513,16548.47059,348.0252101,1,27853.88235,49
0,4,752,753.3109244,135.0672269,0,1618.067227,100,1186.689076,9448.302521,9049.352941,-1364.537815,23.68907563,16413.09244,19338.57143,65.75630252,16026.11765,349.8907563,0.68907563,27921.66387,49
0,4,752,753.7563025,133.2436975,0,1616.487395,100.2436975,1186.243697,9418.714286,9051.932773,-1521.621849,23.24369748,16323,19355.17647,46.54621849,16516.78992,343.9747899,0,27982.31933,49
0,4,752,753,133.8235294,0,1618.352941,101,1186.647059,9472.058824,9033.882353,-1149.823529,24,16549.05882,19337.17647,-205.5294118,16847.64706,347.1764706,0,27896.35294,49
0,4,751.8907563,752.7815126,133.1092437,0,1619.781513,100.8907563,1185.109244,9415.865546,9055.168067,-570.0588235,24,16355.2521,19352,47.05882353,16828.11765,348.2184874,0.109243697,27960.33613,49
0,4,751.0420168,751.1260504,134,0,1617.705882,100.0420168,1185.957983,9375.428571,9080.747899,-1441.991597,23.95798319,16452.7563,19351.83193,50.52941176,16471.64706,349.6638655,0.957983193,28006.87395,49
0,4,751.9747899,753.9243697,134,0,1611.176471,100.9747899,1185.02521,9407.142857,9075.151261,-1419.605042,23.02521008,16580.54622,19348.10084,-426.1176471,16863.41176,342.2016807,0.025210084,27893.07563,49
0,4,752,753.092437,129.4621849,0,1611.907563,101,1185.907563,9399.831933,9052.310924,-718.3613445,23,16060.33613,19331.66387,-348.2436975,16854.03361,345.6302521,0,27833.73109,49
0,4,752,753,134.8823529,0,1612.840336,100.1596639,1186,9431.773109,9062.605042,-775.5714286,23.84033613,16530.52941,19331.68067,-412.1092437,16778.05042,350.2016807,0,27895.22689,49
0,4,752,753,136,0,1606.815126,100.7731092,1185.226891,9413.260504,9065.773109,-1593.983193,24,16684.11765,19345.91597,26.26890756,16515.05882,344.8151261,0,27860.06723,49
