iter	Passed	Remaining
0	12	4991
1	23	4725
2	34	4509
3	43	4308
4	52	4145
5	62	4090
6	72	4044
7	81	4011
8	91	3986
9	102	3997
10	112	3981
11	122	3949
12	132	3944
13	143	3948
14	153	3929
15	163	3933
16	173	3914
17	184	3906
18	195	3916
19	207	3933
20	218	3949
21	232	3987
22	244	4000
23	258	4043
24	272	4094
25	287	4132
26	303	4198
27	322	4291
28	340	4358
29	359	4428
30	377	4488
31	398	4577
32	417	4640
33	435	4686
34	453	4728
35	461	4666
36	478	4697
37	496	4730
38	514	4762
39	534	4812
40	551	4833
41	570	4866
42	589	4898
43	608	4921
44	626	4941
45	641	4938
46	658	4946
47	672	4929
48	685	4912
49	698	4889
50	712	4877
51	726	4859
52	739	4841
53	752	4818
54	767	4812
55	779	4790
56	795	4784
57	807	4763
58	820	4745
59	834	4727
60	848	4716
61	861	4695
62	875	4683
63	889	4670
64	903	4658
65	917	4641
66	930	4626
67	943	4606
68	953	4573
69	968	4564
70	980	4544
71	995	4535
72	1010	4524
73	1023	4507
74	1037	4494
75	1051	4483
76	1065	4468
77	1079	4455
78	1096	4456
79	1115	4461
80	1127	4440
81	1143	4436
82	1159	4427
83	1175	4422
84	1192	4418
85	1207	4410
86	1220	4391
87	1235	4380
88	1249	4367
89	1264	4354
90	1278	4339
91	1291	4324
92	1306	4313
93	1321	4301
94	1334	4285
95	1348	4270
96	1363	4257
97	1375	4237
98	1389	4223
99	1402	4208
100	1416	4192
101	1431	4181
102	1444	4165
103	1458	4151
104	1476	4148
105	1489	4132
106	1504	4118
107	1518	4105
108	1531	4089
109	1544	4071
110	1558	4058
111	1572	4044
112	1586	4028
113	1599	4013
114	1613	3998
115	1629	3989
116	1642	3974
117	1657	3960
118	1671	3946
119	1684	3930
120	1698	3917
121	1711	3900
122	1725	3885
123	1739	3872
124	1753	3857
125	1766	3842
126	1780	3827
127	1794	3813
128	1809	3800
129	1821	3783
130	1837	3772
131	1851	3758
132	1863	3741
133	1877	3726
134	1889	3709
135	1905	3698
136	1919	3685
137	1934	3672
138	1949	3660
139	1962	3644
140	1976	3630
141	1990	3616
142	2004	3602
143	2018	3587
144	2031	3572
145	2046	3560
146	2060	3547
147	2074	3532
148	2087	3516
149	2102	3503
150	2117	3492
151	2136	3485
152	2153	3475
153	2166	3461
154	2184	3452
155	2200	3441
156	2217	3432
157	2234	3421
158	2250	3411
159	2267	3400
160	2285	3392
161	2301	3381
162	2318	3370
163	2334	3359
164	2350	3348
165	2368	3339
166	2410	3362
167	2427	3352
168	2443	3339
169	2459	3327
170	2475	3315
171	2493	3305
172	2509	3292
173	2526	3281
174	2542	3268
175	2558	3256
176	2575	3244
177	2595	3236
178	2614	3227
179	2643	3231
180	2663	3223
181	2697	3231
182	2729	3236
183	2751	3229
184	2769	3218
185	2789	3209
186	2811	3202
187	2831	3192
188	2851	3183
189	2871	3173
190	2891	3163
191	2907	3149
192	2925	3138
193	2942	3124
194	2958	3110
195	2977	3098
196	2994	3085
197	3010	3071
198	3027	3057
199	3043	3043
200	3061	3030
201	3081	3020
202	3100	3009
203	3120	2997
204	3138	2985
205	3155	2971
206	3171	2956
207	3188	2943
208	3219	2942
209	3239	2931
210	3259	2919
211	3280	2909
212	3300	2897
213	3319	2885
214	3335	2869
215	3352	2855
216	3368	2840
217	3389	2829
218	3409	2818
219	3431	2807
220	3468	2809
221	3513	2817
222	3553	2820
223	3583	2815
224	3611	2808
225	3638	2801
226	3660	2789
227	3674	2771
228	3688	2754
229	3703	2737
230	3719	2721
231	3734	2704
232	3748	2686
233	3764	2670
234	3779	2653
235	3794	2636
236	3809	2619
237	3823	2602
238	3838	2585
239	3851	2567
240	3865	2550
241	3878	2532
242	3892	2514
243	3905	2496
244	3920	2480
245	3932	2461
246	3946	2444
247	3959	2427
248	3975	2410
249	3991	2394
250	4007	2378
251	4021	2361
252	4035	2344
253	4049	2327
254	4062	2310
255	4078	2294
256	4092	2277
257	4106	2259
258	4120	2243
259	4133	2225
260	4148	2209
261	4163	2193
262	4177	2176
263	4191	2159
264	4204	2141
265	4218	2124
266	4233	2108
267	4247	2092
268	4261	2075
269	4274	2058
270	4289	2042
271	4302	2024
272	4316	2008
273	4329	1990
274	4344	1974
275	4359	1958
276	4372	1941
277	4387	1925
278	4401	1908
279	4416	1892
280	4429	1875
281	4450	1862
282	4467	1847
283	4485	1831
284	4505	1818
285	4524	1803
286	4538	1786
287	4555	1771
288	4574	1756
289	4591	1741
290	4606	1725
291	4620	1708
292	4635	1692
293	4650	1676
294	4666	1660
295	4681	1644
296	4696	1628
297	4711	1612
298	4727	1596
299	4744	1581
300	4766	1567
301	4782	1551
302	4799	1536
303	4815	1520
304	4833	1505
305	4848	1489
306	4862	1472
307	4875	1456
308	4891	1440
309	4907	1424
310	4920	1408
311	4934	1391
312	4948	1375
313	4962	1359
314	4976	1342
315	4991	1326
316	4997	1308
317	5011	1292
318	5026	1276
319	5039	1259
320	5053	1243
321	5068	1227
322	5080	1211
323	5094	1195
324	5110	1179
325	5125	1163
326	5140	1147
327	5153	1131
328	5168	1115
329	5181	1099
330	5195	1083
331	5210	1067
