"Prod_ID","M1","M2","P1","P2","P3","C1","C2","P4","P5","P6","Y"
1001001,15,"E","A","B","D",110.192,27.049,"A","A","B",0
1001002,20,"E","A","B","D",109.94,27.215,"A","A","A",0
1001003,15,"U","A","B","B",110.214,27.444,"B","B","B",4
1001004,25,"K","B","B","C",107.26,27.3,"A","A","C",0
1001005,20,"E","A","A","D",105.026,28.283,"B","B","A",0
1001006,20,"K","A","A","C",105.737,27.111,"B","B","B",0
1001007,20,"U","A","B","A",121.255,26.835,"C","C","D",3
1001008,20,"U","A","B","B",104.716,27.53,"B","B","A",0
1001009,15,"U","A","C","C",105.383,27.314,"B","B","D",0
1001010,15,"E","A","C","A",114.526,25.172,"A","A","D",0
1001011,15,"U","A","B","B",109.196,23.807,"B","B","C",0
1001012,15,"K","A","B","D",110.63,27.479,"C","C","D",3
1001013,20,"E","A","A","A",104.332,27.054,"A","A","A",5
1001014,15,"K","A","A","C",110.871,27.93,"B","B","A",0
1001015,15,"E","A","A","C",114.314,27.673,"C","C","D",1
1001016,15,"U","A","B","A",114.929,26.948,"C","C","B",1
1001017,20,"U","A","B","B",109.196,26.847,"A","A","C",0
1001018,20,"E","A","B","A",110.254,28.011,"B","B","C",2
1001019,15,"K","B","A","D",108.227,25.923,"B","B","A",2
1001020,25,"U","A","B","B",107.55,27.909,"C","C","A",0
1001021,25,"E","A","B","A",111.417,28.092,"B","B","C",0
1001022,15,"E","A","C","D",112.357,28.118,"C","C","B",0
1001023,25,"U","A","A","A",107.197,27.451,"B","B","C",3
1001024,15,"E","A","A","D",113.251,26.265,"C","C","D",0
1001025,15,"U","A","C","B",106.751,20.022,"B","B","C",0
1001026,25,"U","A","B","B",106.184,24.983,"A","A","B",3
1001027,25,"E","A","A","D",115.224,27.332,"C","C","A",0
1001028,20,"U","A","B","B",104.398,25.081,"C","C","B",0
1001029,25,"E","A","A","D",106.868,25.163,"B","B","B",0
1001030,15,"K","B","A","C",113.952,27.872,"A","A","B",0
1001031,15,"K","A","C","C",108.519,26.412,"B","B","A",0
1001032,20,"U","A","A","B",105.329,26.934,"C","C","C",0
1001033,20,"U","B","A","B",104.03,28.984,"B","B","D",0
1001034,25,"U","A","A","C",110.776,26.484,"C","C","D",0
1001035,15,"E","A","B","A",109.02,25.469,"C","C","B",5
1001036,25,"K","A","C","D",111.497,32.382,"C","C","B",3
1001037,25,"E","A","B","D",114.158,28.038,"A","A","D",0
1001038,25,"U","A","B","B",110.215,24.35,"B","B","B",4
1001039,25,"U","A","B","B",114.293,27.313,"C","C","A",0
1001040,15,"U","A","C","B",106.159,26.227,"A","A","C",0
1001041,30,"U","A","A","A",112.882,28.259,"A","A","D",3
1001042,20,"U","A","B","A",109.25,29.043,"C","C","A",1
1001043,20,"K","A","C","C",108.843,30.605,"C","C","B",0
1001044,25,"U","A","A","C",106.571,29.939,"C","C","D",0
1001045,20,"E","B","B","A",104.526,29.063,"B","B","B",0
1001046,20,"K","A","A","C",108.308,30.964,"B","B","D",0
1001047,20,"E","B","B","A",110.184,28.66,"C","C","B",0
1001048,15,"U","A","B","B",108.19,28.681,"C","C","B",0
1001049,20,"E","A","C","A",110.371,30.624,"A","A","D",5
1001050,25,"U","A","C","A",110.49,25.921,"A","A","C",1
1001051,15,"U","A","C","A",107.939,28.078,"A","A","A",1
1001052,25,"E","A","B","A",121.845,28.048,"A","A","C",1
1001053,20,"E","B","C","A",111.257,26.631,"A","A","C",1
1001054,15,"U","A","B","B",105.47,26.917,"A","A","D",0
1001055,20,"K","A","C","C",106.054,30.017,"B","B","C",1
1001056,15,"U","A","C","B",110.826,25.96,"A","A","D",2
1001057,15,"E","A","A","C",113.533,30.139,"A","A","A",4
1001058,15,"K","A","B","C",115.677,27.94,"A","A","A",2
1001059,15,"U","A","C","A",106.418,29.175,"B","B","A",0
1001060,15,"E","A","C","C",108.195,29.192,"A","A","A",5
1001061,20,"U","A","A","A",109.776,26.476,"B","B","D",4
1001062,20,"E","A","C","A",113.203,28.426,"B","C","A",0
1001063,15,"U","A","B","B",113.062,31.012,"C","C","D",0
1001064,15,"E","A","C","C",107.95,31.412,"C","C","C",0
