ID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,Y
1,7,6.5,0.24,0.32,7.6,0.038,48.0,203.0,0.9958,3.45,0.54,9.7,48.79973771658749,48.62649932279886,48.57971286564936,203.34801315776866,203.73722495691163,203.2914686290449,-23,-45,2,0
2,7,5.7,0.26,0.3,1.8,0.039,30.0,105.0,0.98995,3.48,0.52,12.5,30.260525033463868,30.441713528943556,30.46644271113833,105.50169756448379,105.48824231860176,105.99371547120539,27,35,3,0
3,6,6.7,0.31,0.18,7.7,0.043,57.0,200.0,0.99566,3.17,0.44,9.4,57.60222875930561,57.4073409072079,57.246852697271194,200.75345594561927,200.78046286559382,200.79767863649673,13,-35,12,0
4,6,6.7,0.36,0.28,8.3,0.034,29.0,81.0,0.99151,2.96,0.39,12.5,29.240664847189837,29.875581953448272,29.360109211859,81.16849680544249,81.44828542168311,81.4732126986844,-3,-41,32,0
5,5,7.0,0.78,0.08,2.0,0.093,10.0,19.0,0.9956,3.4,0.47,10.0,10.288175630243446,10.628589777114193,10.663642787432456,19.478897790494095,19.29073138508943,19.775309673918475,-26,-50,-22,1
6,6,6.3,0.19,0.29,5.5,0.042,44.0,189.0,0.99304,3.19,0.47,10.3,44.7338215789672,44.401995743458016,44.778992208525096,189.23248604985915,189.77002351284818,189.74973118700186,-26,22,-10,0
7,5,7.8,0.53,0.01,1.6,0.077,3.0,19.0,0.995,3.16,0.46,9.8,3.420547617572062,3.437981096119926,3.4253667447195753,19.275450549951714,19.29516623655941,19.542830494766037,-4,8,-3,1
8,7,6.5,0.23,0.39,1.9,0.036,41.0,98.0,0.99,3.19,0.43,11.9,41.98302867788298,41.775766400391014,41.052534526135375,98.08283062891536,98.9006581119467,98.2585115657835,-7,4,37,0
9,5,8.2,0.5,0.35,2.9,0.077,21.0,127.0,0.9976,3.23,0.62,9.4,21.743009279621667,21.211798230917726,21.591638948943757,127.53545288133814,127.87997973314661,127.56026616980738,-37,2,-37,1
10,8,6.9,0.28,0.3,8.3,0.026,37.0,113.0,0.99139,2.99,0.38,12.3,37.654627005240336,37.67513662134747,37.00190775011638,113.41493160566982,113.78926853228269,113.874728106098,39,34,-19,0
11,5,5.9,0.29,0.33,7.4,0.037,58.0,205.0,0.99495,3.26,0.41,9.6,58.55832634577824,58.169661776622185,58.51909462141381,205.09271565265615,205.35321011629887,205.57221010980743,38,-18,47,0
12,5,8.3,0.705,0.12,2.6,0.092,12.0,28.0,0.9994,3.51,0.72,10.0,12.729671461172162,12.251592447602835,12.9548807284606,28.773214090899604,28.226482784127914,28.75017428001867,-1,-39,-26,1
13,4,6.0,0.33,0.18,3.0,0.036,5.0,85.0,0.99125,3.28,0.4,11.5,5.7814590541727995,5.057984332553067,5.645940030916599,85.30466208234986,85.32045043114891,85.33401211456685,31,41,34,0
14,6,8.6,0.45,0.31,2.6,0.086,21.0,50.0,0.9982,3.37,0.91,9.9,21.888650186970864,21.943068090948227,21.9082009427465,50.34721612251189,50.22050045397316,50.831811034442204,23,-32,19,1
15,5,6.6,0.22,0.53,15.1,0.052,22.0,136.0,0.9986,2.94,0.35,9.4,22.637316179960585,22.909613136515144,22.430361753754642,136.32009719761157,136.82746171239526,136.82264189503834,7,10,-47,0
16,7,8.2,0.18,0.49,1.1,0.033,28.0,81.0,0.9923,3.0,0.68,10.4,28.580645296740066,28.38184878216398,28.001190534427803,81.15337603692036,81.48790430675682,81.0403522244246,31,24,20,0
17,6,6.1,0.17,0.28,4.5,0.033,46.0,150.0,0.9933,3.43,0.49,10.9,46.52362069900124,46.03296802242685,46.16027312838766,150.02890480838255,150.30364680998284,150.87630062999486,19,33,-21,0
18,5,8.9,0.13,0.49,1.0,0.0279999999999999,6.0,24.0,0.9926,2.91,0.32,9.9,6.272298096491973,6.412991175865025,6.179313939663834,24.95342193335609,24.49752662161292,24.326080744922105,-46,-29,4,0
19,7,7.7,0.32,0.48,2.3,0.04,28.0,114.0,0.9911,3.2,0.52,12.8,28.2598646046539,28.752898843176325,28.866821178352616,114.63633746311916,114.64741867849095,114.82749967129733,-8,-26,45,0
20,5,6.4,0.29,0.57,1.0,0.06,15.0,120.0,0.9924,3.06,0.41,9.5,15.496556308862239,15.760087042998213,15.291394019706665,120.50550513287384,120.54197926289474,120.36769210212037,-38,-15,-28,0
21,5,7.0,0.12,0.28,6.3,0.057,17.0,103.0,0.9957,3.5,0.44,9.6,17.397962291609705,17.272523095657828,17.01893542887745,103.72775656293534,103.06970823851951,103.16206520796345,-18,-7,31,0
22,5,6.2,0.24,0.25,12.5,0.055,47.0,134.0,0.99758,3.3,0.51,9.0,47.18868414516075,47.14274265970357,47.31965814769123,134.7911988009819,134.59115703126605,134.83283669220484,-46,-40,-36,0
23,6,5.9,0.21,0.31,1.8,0.033,45.0,142.0,0.98984,3.35,0.5,12.7,45.12351074355764,45.61719273262129,45.39401453741878,142.12734199551062,142.04381768244042,142.2235381418145,-3,-50,-32,0
24,7,7.7,0.44,0.24,11.2,0.031,41.0,167.0,0.9948,3.12,0.43,11.3,41.897635734842495,41.00530946012565,41.788966604919366,167.3173986979485,167.44297591964715,167.4077001208938,31,20,10,0
25,5,7.8,0.57,0.31,1.8,0.069,26.0,120.0,0.99625,3.29,0.53,9.3,26.282188549560775,26.402435367753377,26.761932228573546,120.35645749498258,120.36614563332058,120.15674321010044,-2,22,48,1
26,6,6.3,0.2,0.58,1.4,0.204,15.0,97.0,0.9931,3.16,0.43,10.0,15.73451548097481,15.874522113943687,15.83293821894786,97.00515978985307,97.79899532040054,97.49438388407319,-37,33,-33,0
27,6,7.4,0.2,0.29,1.7,0.047,16.0,100.0,0.99243,3.28,0.45,10.6,16.79590290672086,16.731436721487384,16.289641397308188,100.4531761909497,100.68027682975679,100.178981959999,24,7,37,0
28,6,6.9,0.23,0.33,12.8,0.0559999999999999,44.0,169.0,0.998,3.42,0.42,9.8,44.195996788918755,44.18715649952556,44.936638191211046,169.14642307908437,169.19791750922536,169.1320443439972,43,6,5,0
29,6,6.6,0.41,0.27,10.7,0.11,20.0,103.0,0.99672,3.08,0.41,9.0,20.35444262627193,20.753007436576077,20.076562581469677,103.1786149019198,103.13381557523749,103.44641554352307,34,-45,4,0
30,8,8.6,0.42,0.39,1.8,0.068,6.0,12.0,0.99516,3.35,0.69,11.7,6.369486560124687,6.592138310642128,6.600771674332444,12.324303747590768,12.127277098976343,12.884202665672868,-33,-20,48,1
31,6,5.3,0.33,0.3,1.2,0.048,25.0,119.0,0.99045,3.32,0.62,11.3,25.509898936731634,25.879067173979347,25.4853403634713,119.23452339360676,119.27030402812709,119.65160375530192,14,-39,38,0
32,6,8.5,0.28,0.34,13.8,0.0409999999999999,32.0,161.0,0.9981,3.13,0.4,9.9,32.03000600929505,32.62510299098905,32.27794079213095,161.69925267503373,161.60690343569826,161.05061961741418,-31,14,28,0
33,5,7.8,0.27,0.28,1.8,0.05,21.0,127.0,0.9934,3.15,0.44,9.9,21.92454576058685,21.745740442380992,21.05937483902298,127.77838974848733,127.47276248532074,127.14247177467252,-42,-49,-30,0
34,6,5.9,0.32,0.39,3.3,0.114,24.0,140.0,0.9934,3.09,0.45,9.2,24.752648459368572,24.135559701309916,24.095821597535103,140.90601201643722,140.0878005158691,140.8651384046467,-41,32,-33,0
35,7,6.2,0.76,0.01,3.2,0.0409999999999999,18.0,120.0,0.99026,3.2,0.94,13.7,18.68385553993696,18.437026792615743,18.23563605206556,120.9942606446903,120.7393993182495,120.39698793305566,-23,-14,27,0
36,6,9.2,0.27,0.34,10.5,0.043,49.0,228.0,0.9974,3.04,0.41,10.4,49.39968281780632,49.92765495101482,49.3441694286205,228.7868404344527,228.63700976568762,228.31081465217474,-2,-36,-36,0
37,5,9.5,0.59,0.44,2.3,0.071,21.0,68.0,0.9992,3.46,0.63,9.5,21.230872965264606,21.409521725848883,21.40810592210999,68.82693402871513,68.61819828607244,68.77828108018923,-41,-38,-28,1
38,6,7.1,0.36,0.56,1.3,0.046,25.0,102.0,0.9923,3.24,0.33,10.5,25.72706640448738,25.823408327282518,25.187331065777425,102.03421528007962,102.11914800162202,102.89532945283707,19,41,31,0
39,4,7.2,0.4,0.62,10.8,0.0409999999999999,70.0,189.0,0.9976,3.08,0.49,8.6,70.38679799398747,70.4680444233163,70.69538785038054,189.7599095846102,189.00137766978838,189.73246239158067,-5,-34,24,0
40,6,8.5,0.17,0.74,3.6,0.05,29.0,128.0,0.9928,3.28,0.4,12.4,29.730994836201724,29.64367673956024,29.348827015505538,128.18002693669666,128.28278779665172,128.02643256492044,-9,-35,16,0
41,5,9.2,0.53,0.24,2.6,0.078,28.0,139.0,0.99788,3.21,0.57,9.5,28.09466102477747,28.153264014773804,28.687337300071867,139.83656946194418,139.1564950604269,139.18663738906528,-42,19,-38,1
42,7,7.0,0.35,0.3,6.5,0.0279999999999999,27.0,87.0,0.9936,3.4,0.42,11.4,27.815235068155143,27.156765654306028,27.906886026251694,87.35712016390892,87.29554919197471,87.04788431271488,21,-47,44,0
43,6,7.2,0.35,0.26,1.8,0.083,33.0,75.0,0.9968,3.4,0.58,9.5,33.96730247503792,33.04078762671219,33.22212590190534,75.0294961532857,75.644417798571,75.33471366726901,35,34,21,1
44,7,7.3,0.13,0.27,4.6,0.08,34.0,172.0,0.9938,3.23,0.39,11.1,34.00342685692942,34.77709889727266,34.97567996894961,172.981229439633,172.1950191371722,172.2975965797432,10,-31,35,0
45,5,7.5,0.29,0.36,15.7,0.05,29.0,124.0,0.9968,3.06,0.54,10.4,29.490392109745176,29.389935862297,29.78806795182572,124.79429339068489,124.73517941891171,124.44317207964151,-32,-23,-21,0
46,6,7.0,0.34,0.26,10.3,0.0409999999999999,51.0,166.0,0.99382,3.08,0.35,11.6,51.814460308449796,51.37719653862213,51.34073996139993,166.5796920756379,166.30495871909406,166.12377006519262,-48,5,14,0
47,6,7.9,0.19,0.45,1.5,0.045,17.0,96.0,0.9917,3.13,0.39,11.0,17.76630790933858,17.010793964152864,17.777285039371453,96.62861176986938,96.1207354468663,96.2383022323519,-46,-42,-13,0
48,6,6.8,0.23,0.42,7.4,0.044,56.0,189.0,0.9958,3.22,0.48,9.3,56.670850584338886,56.6359087133886,56.25788806508494,189.8715496237845,189.68563684433286,189.22484499137073,18,15,44,0
49,6,6.7,0.46,0.21,4.0,0.034,12.0,88.0,0.99016,3.26,0.54,13.0,12.110075568734773,12.419221657233512,12.545491665708644,88.64257717309859,88.56430661285907,88.92822491516249,44,41,-38,0
